Region;Groupement;Code;"satisfaction usagers";"satisfaction victimes";"brigade numérique";"délai brigade numérique";
"PAYS DE LA LOIRE";"Maine-et-Loire ";1176;89%;93%;9;2
"PAYS DE LA LOIRE";Mayenne;1234;89%;93%;9;2
"PAYS DE LA LOIRE";Sarthe;1274;89%;93%;9;2
"PAYS DE LA LOIRE";Vendée;1328;89%;93%;9;2
"PROVENCE ALPES COTE D’AZUR";Bouches-du-Rhône;4290;94%;93%;9;2
"PROVENCE ALPES COTE D’AZUR";Alpes-de-Haute-Provence;4354;94%;93%;9;2
"PROVENCE ALPES COTE D’AZUR";Hautes-Alpes;4401;94%;93%;9;2
"PROVENCE ALPES COTE D’AZUR";Alpes-Maritimes;4443;94%;93%;9;2
"PROVENCE ALPES COTE D’AZUR";Var;4507;94%;93%;9;2
"PROVENCE ALPES COTE D’AZUR";Vaucluse;4566;94%;93%;9;2
COMGEND;Guadeloupe;12609;96%;93%;9;2
COMGEND;Martinique;12619;96%;93%;9;2
COMGEND;"Guyane Française";12599;96%;93%;9;2
COMGEND;"La Réunion";6837;96%;93%;9;2
COMGEND;"Saint Pierre et Miquelon";7023;96%;93%;9;2
COMGEND;Mayotte;15702;96%;93%;9;2
COMGEND;"Wallis et Futuna";17419;96%;93%;9;2
COMGEND;"Polynésie Française";6989;96%;93%;9;2
COMGEND;"Nouvelle Calédonie";6901;96%;93%;9;2
